1,Brigitte, Hammaguir,, Western Algeria,Algeria
2,ELD, Guiana Space Centre,, French Guiana,France
3,LA-3, Wallops Flight Facility, Virginia,, USA
4,LA-5B, RAAF Woomera Range Complex,,South Australia,Australia
5,LC-12, Cape Canaveral AFS, Florida,, USA
6,LC-13, Cape Canaveral AFS, Florida,, USA
7,LC-14, Cape Canaveral AFS, Florida,, USA
8,LC-18B, Cape Canaveral AFS, Florida,, USA
9,LC-19, Cape Canaveral AFS, Florida,, USA
10,LC-34, Cape Canaveral AFS, Florida,, USA
11,LC-39A, Kennedy Space Center, Florida,, USA
12,LC-39A, Kennedy Space Center, Florida,, USA
13,LC-5, Cape Canaveral AFS, Florida,, USA
14,LC-576A2, Vandenberg AFB, California,, USA
15,LC-576B3, Vandenberg AFB, California,, USA
16,Mayak-2, Kapustin Yar, ,Astrakhan Oblast,Russia
17,Site 1/5, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
18,Site 110/38, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
19,Site 132/1, Plesetsk Cosmodrome, ,Arkhangelsk Oblast,Russia
20,Site 132/2, Plesetsk Cosmodrome, ,Arkhangelsk Oblast,Russia
21,Site 133/3, Plesetsk Cosmodrome, ,Arkhangelsk Oblast,Russia
22,Site 161/35, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
23,Site 162, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
24,Site 191/66, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
25,Site 31/6, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
26,Site 41/1, Plesetsk Cosmodrome, ,Arkhangelsk Oblast,Russia
27,Site 41/15, Baikonur Cosmodrome, ,Kyzylorda ,Kazhakstan
28,Site 43/4, Plesetsk Cosmodrome, ,Arkhangelsk Oblast,Russia
29,Site 5020 (LA-2A), Jiuquan Satellite Launch Center,,Gansu Province,China
30,Site 81/23, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
31,Site 81/24, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
32,Site 86/1, Kapustin Yar, ,Astrakhan Oblast,Russia
33,Site 90/19, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
34,Site 90/20, Baikonur Cosmodrome, ,Kyzylorda,Kazhakstan
35,SLC-17A, Cape Canaveral AFS, Florida,, USA
36,SLC-17B, Cape Canaveral AFS, Florida,, USA
37,SLC-1E (75-3-5), Vandenberg AFB, California,, USA
38,SLC-1W (75-3-4), Vandenberg AFB, California,, USA
39,SLC-20, Cape Canaveral AFS, Florida,, USA
40,SLC-2E (75-1-1), Vandenberg AFB, California,, USA
41,SLC-2W, Vandenberg AFB, California,, USA
42,SLC-36A, Cape Canaveral AFS, Florida,, USA
43,SLC-36B, Cape Canaveral AFS, Florida,, USA
44,SLC-37B, Cape Canaveral AFS, Florida,, USA
45,SLC-3E, Vandenberg AFB, California,, USA
46,SLC-3W, Vandenberg AFB, California,, USA
47,SLC-40, Cape Canaveral AFS, Florida,, USA
48,SLC-41, Cape Canaveral AFS, Florida,, USA
49,SLC-4E, Vandenberg AFB, California,, USA
50,SLC-4W, Vandenberg AFB, California,, USA
51,SLC-5, Vandenberg AFB, California,, USA
52,SM Launch Tab, San Marco Launch Platform, ,Ngomeni,Kenya
53,Uchinoura Space Center,Uchinoura Space Center,,Kagoshima Prefecture,Japan
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
