60,38,Discoverer 9
60,37,Discoverer 10
6,7,Midas 1
56,35,Pioneer 5
55,35,TIROS-1
61,36,Transit 1B
72,17,E-3 n†­2 (Luna-3)
60,37,Discoverer 11
72,17,E-3 n†­3 (Luna-3)
57,35,Echo 1
72,17,Korabl-Sputnik 1
6,7,Midas 2
61,36,Transit 2A & GRAB-1
60,38,Discoverer 12
72,17,1K n†­2 (Korabl-Sputnik 2)
3,7,Mercury-Atlas 1 (MA-1)
60,37,Discoverer 13
57,35,Echo 1A
60,38,Discoverer 14
61,36,Courier 1A
72,17,Korabl-Sputnik 2
60,37,Discoverer 15
2,5,Pioneer P-30
61,36,Courier 1B
33,17,1M n†­1 (Marsnik 1)
6,46,Samos 1
33,17,1M n†­2 (Marsnik 2)
58,38,Discoverer 16
58,37,Discoverer 17
32,13,Mercury-Redstone 1 (MR-1)
57,35,TIROS-2
61,36,Transit 3A & GRAB-2
72,17,Korabl-Sputnik 3
47,3,Explorer (S-56)
58,38,Discoverer 18
2,5,Pioneer P-31
32,13,Mercury-Redstone 1A (MR-1A)
58,37,Discoverer 19
72,17,1K n†­5 (Korabl-Sputnik 3)
32,13,Mercury-Redstone 2 (MR-2)
6,46,Samos 2
33,17,1VA n†­1 (Venera 1)
33,17,Venera 1
47,3,Explorer 9 (S-56A)
58,38,Discoverer 20
58,37,Discoverer 21
3,7,Mercury-Atlas 2 (MA-2)
61,36,Transit 3B & Lofti 1
72,17,Korabl-Sputnik 4
32,13,Mercury-Redstone BD (MR-BD)
72,17,Korabl-Sputnik 5
57,35,Explorer 10
58,38,Discoverer 22
58,37,Discoverer 23
72,17,Vostok 1
3,7,Mercury-Atlas 3 (MA-3)
32,13,Freedom 7 (MR-3)
58,38,Discoverer 24
58,40,Discoverer 25
61,36,"Transit 4A, Injun 1 & GRAB-3"
47,3,Explorer (S-55)
58,37,Discoverer 26
57,35,TIROS-3
7,45,Midas 3
32,13,Liberty Bell 7 (MR-4)
58,38,Discoverer 27
58,40,Discoverer 28
72,17,Vostok 2
57,35,Explorer 12
7,5,Ranger 1
47,3,Explorer 13
58,38,Discoverer 29
7,46,Samos 3
58,37,Discoverer 30
3,7,Mercury-Atlas 4 (MA-4)
58,40,Discoverer 31
58,38,Discoverer 32
7,45,Midas 4
58,37,Discoverer 33
21,16,DS-1 1
19,8,Mercury-Scout 1 (MS-1)
58,40,Discoverer 34
58,38,Discoverer 35
61,36,Transit 4B & TRAAC
7,5,Ranger 2
7,46,Samos 4
3,7,Mercury-Atlas 5 (MA-5)
72,17,Zenit-2 n†­1
58,38,Discoverer 36 & Oscar 1
21,16,DS-1 2
7,45,Samos 5
58,38,Discoverer 37
61,36,LOFTI-2A & Others
7,5,Ranger 3
57,35,TIROS-4
3,7,Friendship 7 (MA-6)
58,37,FTV 2301
58,38,Discoverer 38
57,35,OSO-1
7,45,Samos 6
21,16,Cosmos 1
21,16,Cosmos 2
7,45,Midas 5
58,37,Discoverer 39
7,5,Ranger 4
21,16,Cosmos 3
72,17,Cosmos 4
48,3,Solrad 4B
57,35,Ariel 1
7,46,Samos 7
58,38,FTV 1125
9,42,AC-1 (Test Vehicle)
61,36,ANNA 1A
58,37,FTV 1126
3,7,Aurora 7 (MA-7)
50,51,DSAP-1 F1 (Program 35)
21,16,Cosmos 5
58,40,FTV 1128
73,17,2MV-1 n†­1 (Venera 2)
60,38,FTV 1127 & Oscar 2
7,46,Samos 8
58,37,FTV 2312
57,35,TIROS-5
58,38,FTV 1129
59,40,FTV 1151
21,16,Cosmos 6
57,36,Telstar 1
7,46,Samos 9
58,37,FTV 1130
7,5,Mariner 1
58,38,FTV 1131
73,17,Cosmos 7
59,40,FTV 1152
7,46,Samos 10
72,17,Vostok 3
72,17,Vostok 4
21,16,Cosmos 8
50,51,DSAP-1 F2 (Program 35)
33,17,2MV-1 n†­1 (Venera 2)
7,5,Mariner 2
59,41,FTV 1153
33,17,2MV-1 n†­2 (Venera 2)
58,37,FTV 1132
33,17,2MV-2 n†­1 (Venera 2)
58,38,FTV 1133 & ERS-2
57,35,TIROS-6
73,17,Cosmos 9
58,40,Alouette 1 & TAVE
59,41,FTV 1154
26,36,Explorer 14
3,7,Sigma 7 (MA-8)
58,38,FTV 1134
73,17,Cosmos 10
7,5,Ranger 5
21,16,Cosmos 11
33,17,2MV-4 n†­1 (Mars 1)
21,16,1MS #2
59,41,STARAD
26,36,Explorer 15
61,35,ANNA 1B
33,17,Mars 1
33,17,2MV-3 n†­1 (Mars 2)
58,38,FTV 1136
7,46,Samos 11
58,38,FTV 1135
59,40,FTV 1155
59,40,Injun 3 & Others
26,35,Relay 1
59,37,FTV 1156
51,3,Explorer 16 (S-55B)
7,45,Midas 6
51,51,Transit-5A 1
73,17,Cosmos 12
33,17,E-6 n†­1 (Luna 4)
33,17,E-6 n†­2 (Luna 4)
51,51,DSAP-1 F3 (Program 35)
73,17,Cosmos 13
33,17,Luna 4
51,51,Transit-5A 2
21,16,DS-P1 #2
21,16,Cosmos 14
73,17,Cosmos 15
50,51,DSAP-1 F4 (Program 35)
73,17,Cosmos 16
7,45,Midas 7
3,7,Faith 7 (MA-9)
21,16,Cosmos 17
73,17,Cosmos 18
21,16,DS-MT #1
7,45,Midas 8
72,17,Vostok 5
51,51,Transit-5A 3
72,17,Vostok 6
52,51,CRL-1 (GRS)
73,17,Zenit-2 n†­12
8,50,KH-7 Gambit 4001
7,45,Midas 9
21,16,Cosmos 19
21,16,DS-A1 #3
8,50,KH-7 Gambit 4002
49,51,DSAP-1 F5 (Program 35)
8,6,Vela 1A/1B
73,17,Cosmos 20
21,16,DS-A1 #4
8,50,KH-7 Gambit 4003
39,17,Poliot-1
33,17,Cosmos 21
71,17,Cosmos 22
10,42,AC-2 (Test Vehicle)
73,17,Zenit-2 n†­14
21,16,Cosmos 23
8,50,KH-7 Gambit 4004
73,17,Cosmos 24
52,51,Explorer 19 (AD-A)
44,10,SA-5
72,17,Elektron 1 & 2
7,5,Ranger 6
33,17,3MV-1 n†­2 (Zond 1)
8,50,KH-7 Gambit 4005
21,16,Cosmos 25
8,50,KH-7 Gambit 4006
21,16,Cosmos 26
33,17,E-6 n†­6
33,17,Cosmos 27
33,17,Zond 1
73,25,Cosmos 28
62,9,Gemini 1
39,17,Poliot-2
33,17,E-6 n†­5 (Luna 5)
8,50,KH-7 Gambit 4007
73,25,Cosmos 29
71,17,Cosmos 30
8,50,KH-7 Gambit 4008
44,44,A-101
33,17,E-6 n†­8 (Luna)
21,16,Cosmos 31
73,25,Cosmos 32
73,25,Cosmos 33
11,42,AC-3 (Test Vehicle)
71,17,Cosmos 34
8,50,KH-7 Gambit 4009
72,17,Elektron 3 & 4
73,25,Cosmos 35
8,6,Vela 2A/2B
7,5,Ranger 7
21,16,Cosmos 36
73,25,Cosmos 37
14,49,KH-7 Gambit 4010
20,27,"Cosmos 38, 39 & 40"
33,17,Cosmos 41
21,16,Cosmos 42 & 43
75,25,Cosmos 44
65,39,Transtage 1
7,5,OGO 1
71,17,Cosmos 45
44,44,A-102
14,49,KH-7 Gambit 4011
73,25,Cosmos 46
71,17,Cosmos 47
14,49,KH-7 Gambit 4012
71,17,Voskhod 1
73,25,Cosmos 48
8,50,KH-7 Gambit 4013
20,27,"Strela-1 #4, 5, 6"
21,16,Cosmos 49
73,25,Cosmos 50
8,6,Mariner 3
8,5,Mariner 4
33,17,Zond 2
21,16,DS-2 #2
14,49,KH-7 Gambit 4014
21,32,Cosmos 51
65,39,Transtage 2
11,42,Surveyor-Model 1
73,25,Cosmos 52
62,9,Gemini 2
4,15,OV1-1
14,50,KH-7 Gambit 4015
21,32,Cosmos 53
65,39,LES 1
21,32,DS-P1 You #2
44,44,A-103
7,5,Ranger 8
21,32,DS-A1 #6
20,27,"Cosmos 54, 55 & 56"
71,17,Cosmos 57
75,25,Cosmos 58
11,42,Surveyor-SD 1
71,25,Cosmos 59
33,17,Cosmos 60
14,50,KH-7 Gambit 4016
20,27,"Cosmos 61, 62 & 63"
71,17,Voskhod 2
7,5,Ranger 9
62,9,Gemini 3
73,25,Cosmos 64
14,49,SNAPSHOT
33,17,E-6 n†­8 (Luna)
71,25,Cosmos 65
33,17,Molniya-1 n†­3
14,49,KH-7 Gambit 4017
65,39,LES 2 & LCS 1
73,25,Cosmos 66
33,17,Luna 5
44,44,A-104
71,25,Cosmos 67
14,49,KH-7 Gambit 4018
4,15,OV1-3
62,9,Gemini IV
33,17,Luna 6
73,25,Cosmos 68
67,47,Transtage 5
71,17,Cosmos 69
14,49,KH-7 Gambit 4019
21,32,Cosmos 70
14,49,KH-7 Gambit 4020
73,25,Zenit-2 n†­28
20,27,Cosmos 71 to 75
40,31,Proton-1
33,17,Zond 3
8,6,Vela 3A/3B
21,32,Cosmos 76
44,44,A-105
71,25,Cosmos 77
14,49,KH-7 Gambit 4021
12,43,Surveyor SD-2
73,25,Cosmos 78
62,9,Gemini V
71,17,Cosmos 79
20,27,Cosmos 80 to 84
71,25,Cosmos 85
20,27,Cosmos 86 to 90
71,25,Cosmos 91
14,49,KH-7 Gambit 4022
34,17,Luna 7
4,15,OV1-2
33,17,Molniya-1 n†­4
67,47,LCS-2 & OV2-1
71,25,Cosmos 92
22,32,Cosmos 93
14,7,GATV 5002
71,25,Cosmos 94
40,31,Proton-2
22,32,Cosmos 95
14,49,KH-7 Gambit 4023
33,25,Venera 2
33,25,Venera 3
33,25,Cosmos 96
22,32,Cosmos 97
27,1,Ast�rix
73,25,Cosmos 98
33,25,Luna 8
62,9,Gemini VII
73,25,Cosmos 99
62,9,Gemini VI-A
75,25,Cosmos 100
21,32,Cosmos 101
67,48,"LES 3 & 4, OV2-3, OSCAR-4"
74,25,Cosmos 102
20,27,Cosmos 103
21,32,DS-K40 #1
73,25,Cosmos 104
14,49,KH-7 Gambit 4024
73,25,Cosmos 105
22,32,Cosmos 106
34,25,Luna 9
73,25,Cosmos 107
21,32,Cosmos 108
14,49,KH-7 Gambit 4025
27,1,Diapason
71,25,Cosmos 109
21,32,DS-K40 #2
71,25,Cosmos 110
45,10,AS-201
34,25,Cosmos 111
14,7,GATV 5003
73,26,Cosmos 112
14,49,KH-7 Gambit 4026
71,25,Cosmos 113
40,31,Proton-3a
33,25,Molniya-1 n†­5
4,15,OV1-4/OV1-5
34,25,Luna 10
71,26,Cosmos 114
12,43,Surveyor Model-3
16,5,OAO-1
14,49,KH-7 Gambit 4027
73,25,Cosmos 115
33,25,Molniya-1 n†­6
22,32,Cosmos 116
73,25,Cosmos 117
75,25,Cosmos 118
14,49,KH-7 Gambit 4028
62,9,Gemini VIII
71,26,Zenit-4 n†­18
14,7,GATV 5004
22,32,Cosmos 119
12,42,Surveyor 1
1,7,ATDA
62,9,Gemini IX-A
14,49,KH-7 Gambit 4029
13,5,OGO-3
71,25,Cosmos 120
14,45,Midas 10
67,48,OPS 9311-9317 & GGTS-1
71,26,Cosmos 121
75,25,Cosmos 122
45,44,AS-203
40,31,Proton-3
21,32,Cosmos 123
14,49,KH-7 Gambit 4030
4,15,OV1-7/OV1-8
71,25,Cosmos 124
14,7,GATV 5005
62,9,Gemini X
74,25,Cosmos 125
71,25,Cosmos 126
66,50,KH-8
71,25,Cosmos 127
14,6,Lunar Orbiter 1
14,49,KH-7 Gambit 4031
14,45,Midas 11
34,25,Luna 11
45,10,AS-202
67,48,"IDCSP-1 8-14, GGTS-2"
71,25,Cosmos 128
14,7,GATV 5006
62,9,Gemini XI
73,25,Zenit-2 n†­40
14,49,KH-7 Gambit 4032
68,23,OGTch 1
12,42,Surveyor 2
30,53,Osumi
66,50,OPS 4096
14,45,Midas 12
14,49,KH-7 Gambit 4033
73,26,Cosmos 129
33,17,Molniya-1 n†­7
71,25,Cosmos 130
34,25,Luna 12
12,43,Surveyor SD-4
68,23,OGTch 2
14,49,KH-7 Gambit 4034
67,47,"Gemini B, OV4-3, &  OV4-1R/T"
14,6,Lunar Orbiter 2
14,7,GATV 5001
62,9,Gemini XII
71,26,Cosmos 131
23,27,Strela-2 #2
73,25,Cosmos 132
53,25,Cosmos 133
71,25,Cosmos 134
14,49,KH-7 Gambit 4035
14,5,ATS-1
4,15,OV1-9/OV1-10
22,32,Cosmos 135
53,25,Soyuz 7K-OK n†­1
66,50,OPS 8968
73,26,Cosmos 136
30,53,Osumi
34,17,Luna 13
21,32,Cosmos 137
67,48,OPS 9321-9328
73,26,Cosmos 138
